song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Hands On,Kanye West Featuring Fred Hammond,2019-11-09,60,0,60,1,1
I'll Kill You,Summer Walker Featuring Jhene Aiko,2019-10-19,61,0,61,1,1
Famous,Mason Ramsey,2018-05-12,62,0,62,1,1
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,2018-06-23,62,0,62,1,1
Everytime,Ariana Grande,2018-09-01,62,0,62,1,1
Ilomilo,Billie Eilish,2019-04-13,62,0,62,1,1
London Boy,Taylor Swift,2019-09-07,62,0,62,1,1
Falling,Harry Styles,2019-12-28,62,0,62,1,1
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,2018-03-24,63,0,63,1,1
Karma,Queen Naija,2018-07-14,63,0,63,1,1
Happier,Marshmello & Bastille,2018-09-01,63,0,63,1,1
Is That Alright?,Lady Gaga,2018-10-20,63,0,63,1,1
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018-12-15,63,0,63,1,1
Listen Before I Go,Billie Eilish,2019-04-13,63,0,63,1,1
Higher Love,Kygo X Whitney Houston,2019-07-13,63,0,63,1,1
Jesus Is Lord,Kanye West,2019-11-09,63,0,63,1,1
Loyal,PARTYNEXTDOOR Featuring Drake,2019-12-07,63,0,63,1,1
Nico And The Niners,twenty one pilots,2018-07-28,79,0,79,1,1
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",2018-11-17,79,0,79,1,1
Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-01-26,79,0,79,1,1
Drunk Dialing...LODT,Summer Walker,2019-10-19,79,0,79,1,1
Love Me More,Trippie Redd,2019-11-16,79,0,79,1,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2019-12-28,79,0,79,1,1
My My My!,Troye Sivan,2018-01-27,80,0,80,1,1
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,2018-05-19,80,0,80,1,1
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-06-02,80,0,80,1,1
Hope,XXXTENTACION,2018-06-30,80,0,80,1,1
