song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drew Barrymore,Bryce Vine,91.0,0.0,91.0,1.0,1.0,0OgGn1ofaj55l2PcihQQGV,0.758,0.574,11.0,-6.8889999999999985,0.0,0.0572,0.46,0.00272,0.102,0.261,151.985,191147.0,4.0
Global,Lil Baby,91.0,0.0,91.0,1.0,1.0,7cW1wHpSLYgKWzoWlOCPFJ,0.672,0.565,1.0,-6.504,1.0,0.441,0.106,0.0,0.113,0.313,163.827,169826.0,4.0
Here Tonight,Brett Young,91.0,0.0,91.0,1.0,1.0,38nVuIj9mi5a8oopOJhSJk,0.517,0.7759999999999999,11.0,-5.271,1.0,0.0362,0.0144,0.0,0.113,0.448,96.002,216533.0,4.0
Flaws And Sins,Juice WRLD,91.0,0.0,91.0,1.0,1.0,2BSbCCbaSCzkOEZa6N5901,0.7090000000000001,0.662,8.0,-4.55,1.0,0.0766,0.00966,0.0,0.108,0.439,150.046,218349.0,4.0
Five More Minutes,Scotty McCreery,89.0,96.0,89.0,3.0,1.0,3qTmB5HxP9ilJaiM6B1yuk,0.494,0.634,7.0,-4.933,1.0,0.0282,0.259,1.15e-06,0.109,0.28,156.03,241147.0,4.0
Tequila,Dan + Shay,84.0,0.0,84.0,1.0,1.0,42fw0rxRO2xbesF6mJfd4Y,0.489,0.581,11.0,-5.731,1.0,0.0281,0.0312,0.0,0.132,0.494,86.016,196747.0,4.0
Tequila Shots,Kid Cudi,41.0,0.0,0.0,0.0,1.0,30KctD1WsHKTIYczXjip5a,0.7120000000000001,0.556,5.0,-7.213999999999999,0.0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293.0,4.0
7 Summers,Morgan Wallen,69.0,0.0,0.0,0.0,1.0,4obHzpwGrjoTuZh2DItEMZ,0.466,0.7859999999999999,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.5710000000000001,203.903,210507.0,4.0
Shots,Lil Tecca,84.0,0.0,84.0,1.0,1.0,6eSU1exzDvBEXmBRxspeh5,0.8290000000000001,0.5820000000000001,7.0,-5.721,0.0,0.0415,0.525,0.0,0.0759,0.51,108.028,109373.0,4.0
Cherry,Harry Styles,84.0,0.0,84.0,1.0,1.0,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,7.0,-9.261,1.0,0.0259,0.615,0.004529999999999999,0.129,0.411,95.946,259187.0,4.0
Auto Pilot,Migos,85.0,0.0,85.0,1.0,1.0,4Kw3CztmD15X1QGDnnHmLD,0.928,0.721,11.0,-5.774,1.0,0.15,0.0714,0.0,0.225,0.254,129.997,287992.0,4.0
Oodles O' Noodles Babies,Meek Mill,85.0,0.0,85.0,1.0,1.0,0jqLv5PuEUA0GthFjdtlS1,0.609,0.836,4.0,-3.442,0.0,0.264,0.593,0.0,0.466,0.584,72.09899999999998,181274.0,4.0
Club Paradise,Drake,85.0,0.0,85.0,1.0,1.0,6MR5IBSNfDmiwnrlQpVw4w,0.338,0.7290000000000001,6.0,-6.419,0.0,0.102,0.758,3.24e-05,0.18,0.5429999999999999,184.174,283816.0,4.0
Perfect Strangers,Lil Wayne,86.0,0.0,86.0,1.0,1.0,4E3qImtJzRqLt8ZZyLceOE,0.746,0.644,7.0,-2.605,1.0,0.232,0.4,0.0,0.095,0.542,146.187,249751.0,4.0
1.5,21 Savage,86.0,0.0,86.0,1.0,1.0,2wOXxtHZgRkkrkEbKLzzqs,0.885,0.52,1.0,-8.353,1.0,0.359,0.000244,1.16e-06,0.454,0.306,84.022,148656.0,4.0
Ruin My Life,Zara Larsson,86.0,0.0,86.0,1.0,1.0,5tAa8Uaqr4VvA3693mbIhU,0.665,0.6990000000000001,11.0,-5.265,1.0,0.0578,0.423,0.0,0.0969,0.585,124.896,190932.0,4.0
By My Lonely,Kevin Gates,86.0,0.0,86.0,1.0,1.0,25AEevSO1lu4EKMIP5Sy5p,0.725,0.696,5.0,-4.947,0.0,0.041,0.0222,1.2e-06,0.108,0.443,147.014,130612.0,4.0
Bad Luck,Khalid,87.0,0.0,87.0,1.0,1.0,2vsuel3g4zaLYSOY0mOMbi,0.4320000000000001,0.52,1.0,-5.515,0.0,0.0548,0.277,0.371,0.138,0.303,164.047,231653.0,4.0
Please Tell Me,Future,87.0,0.0,87.0,1.0,1.0,4ANFPo7dzs2DdPuONXC9bp,0.8809999999999999,0.5489999999999999,10.0,-5.589,1.0,0.272,0.0091,0.0,0.13699999999999998,0.202,144.019,204520.0,4.0
Snake Skin,Trippie Redd,87.0,0.0,87.0,1.0,1.0,1usK5eLBzpQTMwDt8SR2dr,0.669,0.557,8.0,-8.835,0.0,0.0498,0.0574,0.0,0.0662,0.5529999999999999,144.043,186944.0,4.0
