song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
My Bad,Khalid,77.0,0.0,77.0,1.0,1.0,1DUSuNhF8P5vUGNPpQiZa5,0.645,0.568,5.0,-9.127,0.0,0.0823,0.5429999999999999,0.266,0.257,0.391,84.999,166101.0,4.0
False God,Taylor Swift,77.0,0.0,77.0,1.0,1.0,5hQSXkFgbxjZo9uCwd11so,0.7390000000000001,0.32,11.0,-10.862,0.0,0.239,0.736,0.000147,0.111,0.35100000000000003,79.97,200307.0,4.0
Heather,Conan Gray,95.0,0.0,0.0,0.0,1.0,4xqrdfXkTW4T0RauPLv3WA,0.35700000000000004,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,198040.0,3.0
Heartless,The Weeknd,32.0,0.0,32.0,1.0,1.0,6bnF93Rx87YqUBLSgjiMU8,0.537,0.746,10.0,-5.507000000000001,0.0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267.0,4.0
Let Me Know (I Wonder Why Freestyle),Juice WRLD,78.0,0.0,78.0,1.0,1.0,3wwo0bJvDSorOpNfzEkfXx,0.635,0.537,7.0,-7.895,0.0,0.0832,0.172,0.0,0.418,0.38299999999999995,125.02799999999999,215381.0,4.0
God's Plan,Drake,1.0,0.0,1.0,1.0,1.0,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973.0,4.0
HIGHEST IN THE ROOM,Travis Scott,1.0,0.0,1.0,1.0,1.0,3eekarcy7kvN4yt5ZFzltW,0.598,0.42700000000000005,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,4.0
Kamikaze,Lil Mosey,97.0,0.0,97.0,1.0,1.0,3to5UxKsozb4T6CfwHuhLJ,0.792,0.5710000000000001,8.0,-7.539,0.0,0.094,0.301,0.0,0.1,0.556,99.999,139200.0,4.0
Kamikaze,Eminem,16.0,0.0,16.0,1.0,1.0,2gsNpSn7VvvJuSrIDfRoYy,0.78,0.8079999999999999,2.0,-5.175,1.0,0.484,0.11199999999999999,0.0,0.32899999999999996,0.642,79.982,216029.0,4.0
NASA,Ariana Grande,17.0,0.0,17.0,1.0,1.0,4uTvPEr01pjTbZgl7jcKBD,0.747,0.45799999999999996,6.0,-6.891,1.0,0.303,0.451,0.0,0.252,0.47,75.029,182000.0,4.0
